step,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud,Predicted_RF,Predicted_XGB,Predicted_Log
286,1004.54,5915.0,4910.46,0.0,0.0,0,0,0,0
202,105458.55,0.0,0.0,148402.44,253860.99,0,0,0,0
135,384594.44,126519.0,0.0,513945.83,898540.27,0,0,0,0
300,406869.11,217746.0,624615.11,1697567.5,1290698.39,0,0,0,0
358,6260.37,41886.0,35625.63,0.0,0.0,0,0,0,0
401,3290.27,0.0,0.0,0.0,0.0,0,0,0,0
136,165993.41,132426.0,0.0,0.0,165993.41,0,0,0,0
282,150951.42,14583.0,0.0,0.0,150951.42,0,0,0,0
159,29103.91,0.0,0.0,110662.96,139766.87,0,0,0,0
300,21296.97,18986.0,0.0,0.0,0.0,0,0,0,0
373,350053.89,61028.0,0.0,302292.45,652346.34,0,0,0,0
331,276982.79,0.0,0.0,332445.18,609427.98,0,0,0,0
692,92194.67,137.0,92331.67,0.0,0.0,0,0,0,0
166,3587.29,11990.0,8402.71,0.0,0.0,0,0,0,0
233,261360.03,359906.77,621266.8,426121.65,164761.62,0,0,0,0
155,618295.95,0.0,0.0,1348188.71,1966484.66,0,0,0,0
233,152065.78,92068.0,0.0,989476.31,1141542.1,0,0,0,0
306,235977.44,0.0,0.0,1059236.81,1295214.25,0,0,0,0
132,248021.31,0.0,0.0,334273.84,582295.15,0,0,0,0
405,1601596.46,32336.95,0.0,1847094.85,3448691.31,0,0,0,0
299,41133.47,0.0,0.0,0.0,0.0,0,0,0,0
11,273817.54,0.0,0.0,347634.31,621451.85,0,0,0,0
300,23602.8,0.0,0.0,33281.98,56884.78,0,0,0,0
187,51461.89,22913275.56,22964737.45,3732146.6,3680684.7,0,0,0,0
154,677368.52,21661.0,0.0,719799.31,1397167.83,0,0,0,0
252,305577.47,55117.0,0.0,0.0,305577.47,0,0,0,0
41,142885.12,10445.0,0.0,84607.72,227492.84,0,0,0,0
20,11238.74,67776.23,56537.5,0.0,0.0,0,0,0,0
258,1507.46,168724.34,167216.89,0.0,0.0,0,0,0,0
353,24953.56,8944706.64,8969660.2,335735.86,310782.3,0,0,0,0
514,143820.91,0.0,0.0,2989508.21,3133329.12,0,0,0,0
249,235461.76,204422.0,0.0,143505.07,378966.82,0,0,0,0
231,8221.24,20632.0,12410.76,0.0,0.0,0,0,0,0
228,11624.01,132.34,0.0,0.0,0.0,0,0,0,0
306,1068.97,1103.0,34.03,0.0,0.0,0,0,0,0
277,72416.51,12265.0,0.0,808540.16,880956.67,0,0,0,0
303,13595.76,0.0,0.0,0.0,0.0,0,0,0,0
403,207052.82,0.0,0.0,637702.19,844755.0,0,0,0,0
201,166955.66,351.0,0.0,11736845.11,11946581.89,0,0,0,0
260,241821.44,359.0,0.0,0.0,241821.44,0,0,0,0
11,11864.85,0.0,0.0,0.0,0.0,0,0,0,0
258,883135.09,405037.0,0.0,31251.45,914386.54,0,0,0,0
22,23104.35,53314.0,30209.65,0.0,0.0,0,0,0,0
347,40528.31,15958.6,0.0,0.0,0.0,0,0,0,0
528,13312.49,159224.57,145912.07,0.0,0.0,0,0,0,0
594,123710.73,0.0,0.0,356945.16,480655.89,0,0,0,0
205,207689.67,0.0,0.0,1105928.38,1313618.04,0,0,0,0
155,233555.03,0.0,0.0,646837.0,280035.09,0,0,0,0
299,121528.4,42042.0,0.0,182969.06,304497.46,0,0,0,0
188,7056.52,121843.99,114787.47,0.0,0.0,0,0,0,0
230,8741.07,0.0,0.0,0.0,0.0,0,0,0,0
358,270151.01,16065340.78,16335491.79,3506260.95,3236109.95,0,0,0,0
13,738055.29,350843.53,0.0,4454090.11,5216961.76,0,0,0,0
373,84280.43,0.0,0.0,276807.03,361087.46,0,0,0,0
400,4992.87,40703.0,35710.13,0.0,0.0,0,0,0,0
